שם,מדינה,קישור,תחום,תיאור
UFO Studio,הממלכה המאוחדת,https://www.ufo.studio/,"motion design, בניית אתרים, מיתוג, עיצוב גרפי","סטודיו יצירתי הממוקם בלונדון, הפועל כקולקטיב גמיש של מעצבים, אנימטורים ואנשי קריאייטיב. הסטודיו מתמחה ביצירת שפות ויזואליות שלמות, החל מאסטרטגיה ומיתוג ועד לעיצוב אתרים ו-Motion Graphics. העבודות שלהם מתאפיינות בקו נקי, מודרני ולעיתים נועז, עם דגש חזק על טיפוגרפיה ודימויים ויזואליים חזקים."
LineTo,שוויץ,https://lineto.com/,"טיפוגרפיה, פונטים, שוויץ","סטודיו אגדי (הידוע גם כ-LL) הנחשב לאחד המשפיעים ביותר בטיפוגרפיה המודרנית. Lineto מזוהה עם הסגנון השוויצרי החדש ומציע פונטים אייקוניים כמו Circular, Brown ו-Akkurat שהפכו לסטנדרט במיתוג של חברות ענק (כמו Airbnb ו-Spotify בעבר). האתר עצמו הוא כלי עבודה המאפשר בדיקה מעמיקה של הפונטים, ומייצג אסתטיקה נקייה, פונקציונלית ויוקרתית."
Ohno Type Co,"ארה""ב",https://ohnotype.co/,"טיפוגרפיה, פונטים","הסטודיו של המעצב ג'יימס אדמונדסון (James Edmondson), הנחשב לאחד הקולות המרעננים והמשפיעים בטיפוגרפיה העכשווית. Ohno ידועים בפונטים אקספרסיביים, נועזים ולעיתים הומוריסטיים (כמו Cheee, Swear ו-Obviously), ששברו את הרצינות המעונבת של עולם הפונטים המסורתי. האתר כולל גם בלוג מצוין ופודקאסט (Ohno Radio) והוא משאב חובה לכל חובב אותיות."
Frosty Type,הממלכה המאוחדת,https://www.frostype.xyz/,"טיפוגרפיה, פונטים","סטודיו לעיצוב פונטים (שהוקם על ידי המעצב Frosty) המציע גופנים בעלי אופי מודרני, ניסיוני וייחודי. הקטלוג מתמקד בטיפוגרפיית תצוגה (Display) עם נוכחות חזקה, צורות גיאומטריות נועזות ועיצובים שנועדו לבלוט במיתוג ובעיצוב דיגיטלי. הפונטים משדרים וייב עתידני וטכנולוגי."
Trevor Paglen Studio,"ארה""ב/גרמניה",https://paglen.studio/,"בינה מלאכותית, טכנולוגיה, מחקר, מעקב, קונספטואלי","האתר הרשמי של האמן והגיאוגרף טרבור פגלן (Trevor Paglen). עבודותיו עוסקות בחשיפת ה""תשתיות הבלתי נראות"" של העולם הטכנולוגי והפוליטי: מעקב המונים, בינה מלאכותית, לווייני ריגול והמיקום הפיזי של האינטרנט (כמו כבלים תת-ימיים). האתר מציג פרויקטים המשלבים צילום אסתטי, פיסול ומחקר עיתונאי מעמיק, והוא מהווה רפרנס חשוב לאמנות ביקורתית (Critical Design) בעידן האלגוריתמים."
MSCHF,"ארה""ב",https://mschf.com/,"אופנה, ויראלי, סאטירה, עיצוב מוצר, קונספטואלי, תרבות עכשווית","קולקטיב יצירתי מברוקלין שפועל במתכונת של ""דרופים"" (השקות) דו-שבועיים. MSCHF מייצרים מגוון אקלקטי של אובייקטים, אפליקציות וחוויות דיגיטליות – מנעלי סניקרס שנויות במחלוקת (כמו ""נעלי השטן"" או ""המגפיים האדומים"") ועד כלי רשת אבסורדיים. העבודות שלהם מותחות ביקורת סאטירית על תרבות הצריכה, עולם האופנה וההייפ (Hype), ונועדו בראש ובראשונה ליצור שיח ויראלי ולשבור מוסכמות."
Re-Levant רה-לבנט,ישראל,https://re-levant.co.il/,"אסטרטגיה, מיתוג, עיצוב גרפי","סטודיו ותיק בתל אביב המתמחה במיתוג ועיצוב זהות חזותית, ידוע בעבודות טיפוגרפיות חזקות ובעיצוב עבור מוסדות תרבות ועסקים."
Open,ישראל,https://www.open.co.il/,"אסטרטגיה, מיתוג, פרסום, תאגידים","אחת מחברות המיתוג הגדולות והמוכרות בארץ. עוסקת באסטרטגיה ומיתוג לתאגידים גדולים, מותגי צריכה וסטארטאפים."
Firma,ישראל,https://firmabrands.com/,"מיתוג, עיצוב מוצר","סטודיו למיתוג ואסטרטגיה עם גישה גלובלית, עובד עם חברות טכנולוגיה ומוצרים בינלאומיים ליצירת שפה תקשורתית ייחודית."
Studio Dov Abramson,ישראל,https://www.studiodov.com/,"איור, דפוס, זהות יהודית, מיתוג","סטודיו ייחודי בירושלים המשלב עיצוב עכשווי עם תרבות יהודית וישראלית. מתמחה בעיצוב ספרים, אמנות וחללים ציבוריים."
