שם,סוג,קישור,תיאור,תגיות,חינם/תשלום
The branding style guide,"אתר, ספרייה/מאגר",Branding Style Guides,"ספרייה מקוונת מקיפה המרכזת מאות מדריכי מיתוג (Brand Books) וספרי סגנון של המותגים המובילים בעולם (כמו Apple, Coca-Cola, Discord ועוד). האתר מהווה משאב יקר ערך למעצבים ואנשי אסטרטגיה לצורך מחקר, למידה וקבלת השראה על סטנדרטים עיצוביים.","מיתוג, השראה",חינם
Flora Fauna,"אתר, כלי",FLORA,"סביבת עבודה מקצועית מבוססת ""קנבס אינסופי"" ותהליכי עבודה חזותיים (Nodes). המערכת מאפשרת לשלב מגוון מודלים של בינה מלאכותית ליצירת תמונות, וידאו ונכסים דיגיטליים עקביים למותגים ולצוותי קריאייטיב.","GenAI, Workflow, כלי עבודה",חצי חינם (freemium)
Constraint Systems,ספרייה/מאגר,Constraint Systems,"פרויקט המציע סדרה של כלי אינטרנט ניסיוניים ומינימליסטיים לעיצוב, טיפוגרפיה ופריסה (Layout). הכלים מאפשרים לחקור יצירתיות דרך אילוצים חזותיים ומערכות חוקים פשוטות.","טיפוגרפיה, עיצוב ווב ואתרים, כלי עבודה",חינם
City Roads,כלי,Draw all roads in a city at once,"כלי המאפשר להציג ולייצא את כל רשת הדרכים של כל עיר בעולם כאיור גרפי נקי. המערכת שואבת נתונים מ-OpenStreetMap ויוצרת מפה מופשטת המורכבת מכבישים בלבד, ללא הסחות דעת חזותיות אחרות.","כלי עבודה, Data Visual",חינם
LogoLounge,"ספרייה/מאגר, השראה",LogoLounge,"אחד המאגרים הגדולים והיוקרתיים בעולם לעיצובי לוגו. האתר משמש כספריית מחקר למקצוענים, מפרסם דוחות מגמות (Trends) שנתיים משפיעים, ומקיים תחרויות עיצוב שתוצריהן מתפרסמים בסדרת ספרים מפורסמת.","לוגו וסמלים, השראה, מיתוג",תשלום/מנוי
Logoed,"ספרייה/מאגר, השראה",Logo Concept Design Awards,בלוג ותיק ומוערך המציג מבחר של עיצובי לוגו איכותיים ומוקפדים. האתר מתמקד בהצגת עבודות עיצוב נקיות ומקצועיות ומשמש כמקור השראה מרכזי למעצבים גרפיים ואנשי מיתוג.,"לוגו וסמלים, השראה, מיתוג",חינם
Logobook,"ספרייה/מאגר, השראה",Logobook,"מאגר אוצרות של סמלים, סימנים מסחריים ולוגואים בשחור-לבן מרחבי העולם. האתר מאורגן בצורה ייחודית לפי קטגוריות של צורות גיאומטריות, אובייקטים וטבע, מה שמאפשר למעצבים למצוא השראה צורנית מדויקת ונקייה.","לוגו וסמלים, השראה, מיתוג",חינם
Logggos,"ספרייה/מאגר, השראה",Logggos,"פלטפורמה המציעה אוסף אצור ומוקפד של לוגואים וזהויות מותג. האתר מאפשר למעצבים ולאנשי קריאייטיב לסנן השראות לפי קטגוריות, צבעים וסגנונות עיצוביים, ובכך מסייע בגיבוש כיוונים ויזואליים לפרויקטים חדשים.","לוגו וסמלים, השראה, מיתוג",חינם
Logo Room,"ספרייה/מאגר, השראה",Logoroom - Creative Branding Studio,"פלטפורמה המציעה אוסף אצור של לוגואים וסימנים מסחריים שנבחרו בשל איכותם העיצובית. האתר מאפשר חיפוש וסינון לפי נושאים ותעשיות, במטרה לספק השראה למעצבים בתחילת תהליך היצירה של זהות מותג.","לוגו וסמלים, השראה, מיתוג",חינם
Spiral Betty,כלי,Spiral Betty,"כלי הממיר תמונות לאמנות ספירלית, קווים או נקודות בסגנון וינטג'. הכלי פופולרי מאוד בקרב חובבי יצירה (DIY) ומשתמשי מכונות חיתוך (כמו Cricut), ומאפשר להתאים אישית את צפיפות הקווים והניגודיות ליצירת מראה ייחודי.","כלי עבודה, עיבוד תמונה",חצי חינם (freemium)
